Feature,DT,XGBoost
Month,6.06,0.13
DayofMonth,2.73,0.03
DayOfWeek,1.57,0.37
DepTime,8.04,0.10
UniqueCarrier,5.22,0.08
FlightNum,16.15,0.72
ActualElapsedTime,23.88,4.03
DepDelay,13.84,1.29
Origin,0.00,0.00
Dest,0.00,0.00
Distance,0.62,0.86
Cancelled,0.17,0.40
Diverted,0.41,0.28
