Feature,Importance
Month,0.0017395944
DayofMonth,0.00020196573
DayOfWeek,0.0036840644
DepTime,0.002140154
UniqueCarrier,0.003250037
FlightNum,0.005956044
TailNum,0.007118272
ActualElapsedTime,0.09345358
AirTime,0.009393975
DepDelay,0.023243127
Origin,0.038874924
Dest,0.0
Distance,0.0
TaxiIn,0.007146297
TaxiOut,0.020822987
Cancelled,0.019577447
Diverted,0.00225448
