Feature,DT,XGBoost
Month,3.32,0.17
DayofMonth,2.49,0.02
DayOfWeek,1.44,0.37
DepTime,5.13,0.21
UniqueCarrier,3.96,0.33
FlightNum,8.05,0.60
TailNum,3.00,0.71
ActualElapsedTime,34.98,9.35
AirTime,7.98,0.94
DepDelay,3.54,2.32
Origin,10.94,3.89
Dest,0.00,0.00
Distance,0.00,0.00
TaxiIn,0.27,0.71
TaxiOut,0.30,2.08
Cancelled,0.28,1.96
Diverted,0.12,0.23
