UniqueCarrier,Origin,Dest,Month,DayofMonth,DayOfWeek,DepTime,FlightNum,ActualElapsedTime,DepDelay,Distance,Cancelled,Diverted,OnTime
0.0,54.0,59.0,0.7167366605984252,-0.7625600778668441,-1.489784888065514,-1.128555401921417,-1.0971631813185936,0.8565926351880263,-0.3086438397408883,0.657539097295606,0.0,0.0,
,,,,,,,,,,,,,0.0
10.0,15.0,166.0,1.593157130882633,0.37884314305675026,0.02325030750527108,-0.6436080279744993,1.9824323330166047,-0.9837826739927719,0.0153860177323545,-0.7587822087422664,0.0,0.0,
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,1.0
,,,,,,,,,,,,,0.0
3.0,7.0,35.0,-1.6203845934927956,1.0636850756109069,0.5275953726955328,0.34526292150856336,0.006627684707779045,-1.153901400051501,-0.1466289110042669,-1.037812900828532,0.0,0.0,
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,0.0
1.0,187.0,192.0,1.593157130882633,-0.6484197557744846,-0.9854398228752523,1.0705755155856924,-1.2947436461494761,-0.009466333838231622,-0.3086438397408883,0.06483942031236592,0.0,0.0,
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,0.0
0.0,159.0,155.0,-0.15968380968578258,-0.19185846740504692,0.5275953726955328,-1.4595846963112697,-0.9584768935046087,0.1297217147552741,-0.3626488159864288,0.06291507071177098,0.0,0.0,
3.0,52.0,55.0,-1.328244436731393,-1.5615423325133602,1.0319404378857946,-1.5671165053168905,-0.713401124627841,-0.009466333838231622,-0.41665379223196924,-0.008285864510241627,0.0,0.0,
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,1.0
10.0,65.0,135.0,-1.328244436731393,-0.30599878949740633,-0.48109475768499066,-0.8565631791424937,1.9444360897798962,-1.169366738784113,-0.03861895851318597,-0.9993259088166333,0.0,0.0,0.0
3.0,131.0,7.0,1.008876817359828,0.26470282096439085,0.5275953726955328,-0.6351741606015094,1.5929708398403457,-0.9528519965275483,-0.3086438397408883,-0.9589145672041397,0.0,0.0,
9.0,142.0,155.0,1.3010169741212305,-0.30599878949740633,-0.48109475768499066,1.2814221999104394,-0.8083917327196114,-0.782733270468819,-0.3626488159864288,-0.5990611918928868,0.0,0.0,
0.0,113.0,55.0,-1.328244436731393,-0.6484197557744846,1.5362855030760563,-2.747857937535473,-0.43222892467620044,0.9957806837815321,-0.41665379223196924,1.13477779824315,0.0,0.0,
3.0,159.0,23.0,-1.328244436731393,-0.6484197557744846,1.5362855030760563,0.6341228790334665,0.23650495628986354,-0.6744758993405369,0.3394158752055973,-0.7029760703250133,0.0,0.0,
,,,,,,,,,,,,,1.0
,,,,,,,,,,,,,0.0
0.0,198.0,175.0,-0.4518239664471852,-1.4474020104210008,0.5275953726955328,-0.4411952110227424,-0.07506423825114354,-0.13318904369912563,-0.3086438397408883,-0.03907545811976059,0.0,0.0,
6.0,187.0,59.0,0.7167366605984252,0.49298346514910973,0.5275953726955328,-0.05112884502196073,-0.37143493549746737,2.093819733796966,-0.4706587684775097,2.4664277218548447,0.0,0.0,
,,,,,,,,,,,,,1.0
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,1.0
3.0,60.0,55.0,0.7167366605984252,1.5202463639803447,1.5362855030760563,-0.8586716459857412,1.646165580371737,-0.27237709229263135,-0.09262393475872643,-0.1814773285637858,0.0,0.0,
,,,,,,,,,,,,,0.0
2.0,99.0,53.0,-0.7439641232085878,1.1778253977032664,0.5275953726955328,-1.2571718793595126,0.8159476656496633,-0.42703047961874885,-0.3086438397408883,-0.43549147584231723,0.0,0.0,
9.0,120.0,130.0,0.7167366605984252,1.4061060418879852,1.0319404378857946,-1.3014496830677096,-0.17005484634291398,-1.1384360613188893,0.1774009464689759,-0.9935528600148484,0.0,0.0,
,,,,,,,,,,,,,1.0
2.0,64.0,183.0,1.3010169741212305,-1.6756826546057195,0.5275953726955328,0.8365356959852235,-0.2555463936255074,1.0731073774445907,0.6634457326788401,0.8134114149437958,0.0,0.0,
3.0,194.0,115.0,-0.15968380968578258,-1.1049810441439225,0.02325030750527108,0.21664644407046776,0.8995394007704213,-0.05586235003606687,-0.2546388634953478,-0.10642769414058333,0.0,0.0,
,,,,,,,,,,,,,0.0
11.0,49.0,92.0,0.7167366605984252,0.49298346514910973,0.5275953726955328,-0.8881901817912057,-1.4524280555818152,-0.8755253028644896,-0.3086438397408883,-0.7818744039494057,0.0,0.0,
3.0,188.0,198.0,0.13245634707562,1.7485270081650635,-0.48109475768499066,-0.47282221367145444,1.5036796682340814,-0.21051573736218435,0.06939099397789497,-0.08910854773522892,0.0,0.0,
,,,,,,,,,,,,,1.0
11.0,151.0,164.0,1.008876817359828,1.7485270081650635,0.02325030750527108,-1.3562698209921438,-1.2928438339876407,-0.8445946253992661,-0.1466289110042669,-0.6163803382982411,0.0,0.0,
,,,,,,,,,,,,,0.0
0.0,107.0,55.0,0.42459650383702263,0.49298346514910973,-0.9854398228752523,-1.0463251950347658,0.5803709575820726,0.5782165380010148,-0.03861895851318597,0.5266833244551504,0.0,0.0,
,,,,,,,,,,,,,1.0
10.0,39.0,29.0,0.13245634707562,-0.7625600778668441,-0.9854398228752523,1.41425561103503,-0.8634862854128383,-0.3806344634209136,-0.20063388724980738,-0.5471037526768235,0.0,0.0,
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,1.0
10.0,126.0,98.0,1.3010169741212305,0.835404431426188,1.0319404378857946,-1.3309682188731742,2.328198146470649,0.06786035982482712,-0.3086438397408883,0.2168630387593658,0.0,0.0,
